S,DH-x,DH-y,DL-x,DL-y,SH-x,SH-y,SL-x,SL-y,UL-x,UL-y
0.5,30.99428,0.02693032,,,,,0.1830382,26.38128,,
0.8,,,13.55859,36.04859,17.26471,36.07346,0.192313,25.18598,,
1,30.97699,0.108187,12.9057,35.61716,17.91456,35.65183,0.198588,24.44286,,
1.2,30.96677,0.1561874,12.38403,35.18086,18.43305,35.22407,0.2031239,23.9354,,
2,30.90609,0.4404923,10.81197,33.376,19.99055,33.45122,0.2079816,23.41749,,
3,30.78107,1.02279,9.300216,30.95116,21.47845,31.07328,0.2315834,21.22376,,
4,30.58873,1.909382,7.969002,28.26431,22.77509,28.45534,0.2769372,18.10972,,
5,30.3014,3.212914,6.67221,25.16263,24.01473,25.47706,0.3683993,14.31718,,
5.5,30.10403,4.09385,5.99201,23.35167,24.64738,23.77794,0.6609447,9.999629,,
6,25.31537,21.85242,5.244979,21.22504,29.84938,5.213037,0.9647786,9.11331,,
6.5,29.49632,6.732216,4.317856,18.40416,26.06271,19.53814,1.357848,9.412095,1.93703,10.80996
