year	gage.01181000	gage.01183500
1936	175.3	922.8
1937	218.4	1040
1938	264.8	1367
1939	175.2	954.5
1940	175.4	883.7
1941	99.3	525.2
1942	161	766.4
1943	224.8	1127
1944	141.3	739.7
1945	253.4	1204
1946	165.5	833
1947	161.6	795.9
1948	191.9	951.5
1949	164.7	871.4
1950	142.3	683.9
1951	198	1018
1952	254.6	1342
1953	224	1174
1954	170	809.6
1955	242.7	1259
1956	287.2	1498
1957	118	573.5
1958	173.5	892.2
1959	150.8	723
1960	242.3	1172
1961	185.5	928.1
1962	118.2	602.8
1963	126.9	623.8
1964	140.1	652.3
1965	73.6	368.2
1966	96.4	480.3
1967	165.1	789.9
1968	177.7	839
1969	198.6	973.5
1970	199.1	966.8
1971	169	751.9
1972	296.3	1349
1973	276.5	1316
1974	218.8	1035
1975	252.9	1191
1976	241.2	1222
1977	202.4	933.7
1978	249.8	1237
1979	238.9	1144
1980	191.6	943.4
1981	115.9	557.6
1982	193.4	1015
1983	229.1	1161
1984	285.7	1401
1985	87.4	543.8
1986	161.7	927.9
1987	193.8	994.7
1988	181.8	775.6
1989	203.8	918.1
1990	241.2	1172
1991	168.4	928.1
1992	178.1	900.6
1993	238.7	1057
1994	184.7	884.1
1995	135.6	656.1
1996	302.1	1438
1997	217.4	1224
1998	206.2	1119
1999	162.8	807.3
2000	241.4	1161
2001	194.8	924.1
2002	109.5	511.1
2003	219.9	1012
2004	270.2	1128
2005	208.7	961.9
2006	297.5	1263
2007	219.2	1052
2008	243.5	1172
2009	242.1	1181
2010	205	1012
2011	319.9	1513
2012	194.9	1020
2013	203.2	1105
2014	192.6	888.5
2015	181.4	868.5
