"","species","STATION","STRATUM","YEAR","SEASON","LAT","LON","EST_TOWDATE","DEPTH","SURFTEMP","BOTTEMP","Pos","BIOMASS","PA","X","Y"
"1","menhaden",155,1050,1963,"FALL",40.883333,-72.133333,1963-12-10,27,9.4,9.3,4,0,1,-72.133333,40.883333
"2","menhaden",155,1050,1963,"FALL",40.883333,-72.133333,1963-12-10,27,9.4,9.3,4,0,1,-72.133333,40.883333
"3","menhaden",155,1050,1963,"FALL",40.883333,-72.133333,1963-12-10,27,9.4,9.3,4,0,1,-72.133333,40.883333
"4","menhaden",157,1010,1963,"FALL",40.733333,-72.65,1963-12-10,28,8.2,8.1,2,0,1,-72.65,40.733333
"5","menhaden",183,1060,1963,"FALL",40.5,-70.833333,1963-12-14,75,9.8,14.4,1,0.5,1,-70.833333,40.5
"6","menhaden",59,1650,1967,"FALL",37.366667,-75.366667,1967-10-24,22,17.5,17.1,1,0.5,1,-75.366667,37.366667
"7","menhaden",205,1260,1967,"FALL",42.266667,-70.316667,1967-11-08,71,8.7,8.5,1,0.5,1,-70.316667,42.266667
"8","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.9,4.1,6,0,1,-75.566667,37.05
"9","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.9,4.1,6,0,1,-75.566667,37.05
"10","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.9,4.1,6,0,1,-75.566667,37.05
"11","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.9,4.1,6,0,1,-75.566667,37.05
"12","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,5.6,6.9,7,0,1,-75.366667,36.466667
"13","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,5.6,6.9,7,0,1,-75.366667,36.466667
"14","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,5.6,6.9,7,0,1,-75.366667,36.466667
"15","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,5.6,6.9,7,0,1,-75.366667,36.466667
"16","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,5.6,6.9,7,0,1,-75.366667,36.466667
"17","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,5.5,6.5,15,0,1,-75.383333,36.4
"18","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,5.5,6.5,15,0,1,-75.383333,36.4
"19","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,5.5,6.5,15,0,1,-75.383333,36.4
"20","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,5.5,6.5,15,0,1,-75.383333,36.4
"21","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,5.5,6.5,15,0,1,-75.383333,36.4
"22","menhaden",193,1020,1971,"SPRING",39.916667,-72.25,1971-04-10,83,5.5,9.2,1,0,1,-72.25,39.916667
"23","menhaden",211,1280,1972,"SPRING",42.316667,-69.9,1972-04-13,201,4.2,6,1,0,1,-69.9,42.316667
"24","menhaden",7,3030,1972,"FALL",40.933333,-72.216667,1972-11-01,8,12.6,12.6,3,0,1,-72.216667,40.933333
"25","menhaden",7,3030,1972,"FALL",40.933333,-72.216667,1972-11-01,8,12.6,12.6,3,0,1,-72.216667,40.933333
"26","menhaden",19,3070,1972,"FALL",40.7,-72.933333,1972-11-04,15,13.1,NA,1,0.5,1,-72.933333,40.7
"27","menhaden",21,3060,1972,"FALL",40.65,-73.166667,1972-11-04,9,12.8,12.8,1,0.5,1,-73.166667,40.65
"28","menhaden",22,3090,1972,"FALL",40.616667,-73.283333,1972-11-04,9,12.6,12.6,2,0.5,1,-73.283333,40.616667
"29","menhaden",23,3090,1972,"FALL",40.6,-73.433333,1972-11-04,10,12.6,12.8,2,0,1,-73.433333,40.6
"30","menhaden",23,3090,1972,"FALL",40.6,-73.433333,1972-11-04,10,12.6,12.8,2,0,1,-73.433333,40.6
"31","menhaden",47,3150,1972,"FALL",39.816667,-74.083333,1972-11-07,9,12,12.6,2,1.4,1,-74.083333,39.816667
"32","menhaden",48,3150,1972,"FALL",39.733333,-74.083333,1972-11-07,9,11.9,12,1,0.5,1,-74.083333,39.733333
"33","menhaden",58,3180,1972,"FALL",39.316667,-74.45,1972-11-08,8,12.3,12.5,2,0,1,-74.45,39.316667
"34","menhaden",64,3220,1972,"FALL",39.116667,-74.65,1972-11-10,15,12.9,12.6,1,0,1,-74.65,39.116667
"35","menhaden",125,7890,1972,"FALL",28.95,-80.816667,1972-11-09,15,24.3,24.3,1,0,1,-80.816667,28.95
"36","menhaden",134,7860,1972,"FALL",29.55,-81.15,1972-11-10,15,23.8,23.6,1,0.5,1,-81.15,29.55
"37","menhaden",135,7870,1972,"FALL",29.7,-81.166667,1972-11-10,17,23.8,23.8,1,0,1,-81.166667,29.7
"38","menhaden",136,7860,1972,"FALL",29.9,-81.266667,1972-11-10,11,23.6,23.8,3,0.9,1,-81.266667,29.9
"39","menhaden",136,7860,1972,"FALL",29.9,-81.266667,1972-11-10,11,23.6,23.8,3,0.9,1,-81.266667,29.9
"40","menhaden",136,7860,1972,"FALL",29.9,-81.266667,1972-11-10,11,23.6,23.8,3,0.9,1,-81.266667,29.9
"41","menhaden",137,7830,1972,"FALL",30,-81.3,1972-11-10,11,23.5,23.5,4,0.5,1,-81.3,30
