Board_ID,BOARD,POINT_X,POINT_Y,YEAR,REDBACK,SPOTTEDSUM,SLIMYSUM,JEFFERSONSUM,REDEFTSUM,TWOLINEDSUM,MARBLEDSUM,FOURTOEDSUM,ident,elevation,wetland_dens1k,Rd_dens1k,wet_dist,road_dis,urb_dens2_5k,ag_dens2_5k,edge_dis,can_co,elu_geolog,dens_ave,percent_total_veg_cover,percent_shrub_cover,percent_total_exotic_cover,leaf_detritus,rock_cover,cwd_cover
AD1A1,AD01A01,617824.1279,4698223.144,2012,0,0,0,0,0,0,0,0,AD01A01,217,0.07,0.035,131,237,0.093,0.229,127,81,100,82.25,15,5,5,1,1,1
AD1A2,AD01A02,617877.865,4698183.041,2012,1,0,0,0,0,0,0,0,AD01A02,218,0.08,0.031,143,297,0.095,0.228,124,85,100,86,50,0,0,2,1,2
AD1A3,AD01A03,617922.9627,4698153.405,2012,0,0,0,0,0,0,0,0,AD01A03,219,0.08,0.03,157,346,0.096,0.229,150,83,100,91,75,30,50,1,1,2
AD1A4,AD01A04,617972.0507,4698124.413,2012,0,0,0,0,0,0,0,0,AD01A04,223,0.085,0.03,187,398,0.097,0.23,190,84,100,93.5,80,70,5,1,1,1
AD1A5,AD01A05,618005.719,4698080.574,2012,3,0,0,0,0,0,0,0,AD01A05,224,0.075,0.032,236,454,0.098,0.233,256,86,100,77.25,65,0,0,1,0,2
AD1A6,AD01A06,618057.655,4698066.388,2012,1,0,0,0,0,0,0,0,AD01A06,223,0.075,0.035,267,496,0.099,0.233,283,87,100,93.5,10,5,0,1,2,1
AD1B1,AD01B01,617785.2095,4698137.506,2012,1,0,0,0,0,0,0,0,AD01B01,225,0.085,0.032,225,296,0.095,0.234,216,88,100,91,45,8,0,,0,1
AD1B2,AD01B02,617823.7408,4698112.386,2012,1,0,0,0,0,0,0,0,AD01B02,226,0.08,0.03,231,335,0.096,0.234,228,88,100,93.5,75,6,0,1,1,1
AD1B3,AD01B03,617873.5014,4698076.638,2012,0,0,0,0,0,0,0,0,AD01B03,229,0.08,0.029,243,391,0.097,0.234,242,85,100,83.5,75,0,0,1,1,2
AD1B4,AD01B04,617913.7556,4698043.867,2012,1,0,0,0,0,0,0,0,AD01B04,233,0.075,0.029,246,437,0.099,0.235,270,88,100,92.25,75,0,5,1,0,2
AD1B5,AD01B05,617956.1961,4698015.61,2012,1,0,0,0,0,0,0,0,AD01B05,230,0.075,0.03,243,481,0.1,0.236,301,83,100,86,35,5,5,1,0,1
AD1B6,AD01B06,618003.7886,4697987.432,2012,1,0,0,0,0,0,0,0,AD01B06,235,0.07,0.03,254,529,0.101,0.238,342,87,100,76,20,10,0,1,0,1
AD2A1,AD02A01,617681.8302,4697858.03,2012,0,0,0,0,0,0,0,0,AD02A01,228,0.104,0.024,136,263,0.099,0.255,153,86,100,81,15,0,0,1,1,2
AD2A2,AD02A02,617685.4896,4697814.418,2012,1,0,0,0,0,0,0,0,AD02A02,224,0.1,0.024,127,281,0.098,0.259,134,83,100,89.5,30,25,5,1,1,2
AD2A3,AD02A03,617701.8627,4697771.124,2012,0,0,0,1,0,0,0,0,AD02A03,225,0.104,0.023,121,316,0.098,0.261,153,81,100,94.75,40,25,0,0,1,2
AD2A4,AD02A04,617701.2197,4697744.179,2012,0,0,0,0,0,0,0,0,AD02A04,225,0.095,0.022,135,330,0.097,0.264,150,82,100,81,35,30,0,2,2,2
AD2A5,AD02A05,617708.3892,4697688.785,2012,0,1,0,0,1,0,0,0,AD02A05,225,0.095,0.018,167,369,0.097,0.269,162,85,100,86,70,65,0,0,2,2
AD2A6,AD02A06,617723.0215,4697636.645,2012,0,0,0,0,0,0,0,0,AD02A06,234,0.1,0.017,170,415,0.097,0.272,182,88,100,5.25,75,15,0,2,1,2
AD2B1,AD02B01,617762.9863,4697870.346,2012,0,0,0,0,0,0,0,0,AD02B01,243,0.09,0.025,71,339,0.099,0.25,242,85,100,68.5,90,80,0,3,2,2
AD2B2,AD02B02,617761.5051,4697802.74,2012,1,0,0,0,0,0,0,0,AD02B02,244,0.09,0.025,54,356,0.099,0.254,218,79,100,42.25,35,25,0,1,2,1
AD2B3,AD02B03,617777.0858,4697748.782,2012,0,0,0,0,0,0,0,0,AD02B03,263,0.095,0.024,79,393,0.099,0.257,240,82,100,89.75,80,70,0,3,0,1
AD2B4,AD02B04,617780.9192,4697702.641,2012,0,0,0,0,0,0,0,0,AD02B04,263,0.09,0.022,121,419,0.098,0.262,242,85,100,89.75,35,20,0,1,0,2
AD2B5,AD02B05,617784.6025,4697663.406,2012,0,0,0,0,1,0,0,0,AD02B05,262,0.085,0.019,159,445,0.098,0.265,242,87,100,89.75,40,15,0,2,2,2
AD2B6,AD02B06,617801.4584,4697618.528,2012,0,0,0,0,0,0,0,0,AD02B06,259,0.09,0.018,201,486,0.098,0.267,240,87,100,79.75,15,5,0,2,1,2
