"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,2454061.07136735,0.0931895221821338,228692.778646498
1983,1,1,5706961.64574164,0.0851955476081803,486207.72258784
1984,1,1,4131043.67348246,0.0905200975899437,373942.476471952
1985,1,1,5034619.38962215,0.115393606188413,580962.887154605
1986,1,1,4518198.91521142,0.0940035892199492,424726.914839554
1987,1,1,4562405.87067595,0.0890763389460095,406402.411745595
1988,1,1,6815004.81642178,0.103084417276875,702520.800239935
1989,1,1,5818424.75299123,0.0847963581850952,493381.229427668
1990,1,1,6499697.21289816,0.113541057745145,737982.496575627
1991,1,1,4525421.6292448,0.0896474097563652,405692.327117226
1992,1,1,4394093.1849679,0.0946299481274824,415812.810160836
1993,1,1,5032803.51113783,0.0842149475420611,423837.283679973
1994,1,1,4518842.44013325,0.0852872948162704,385399.847419919
1995,1,1,4324504.77416791,0.102664454972225,443972.925664735
1996,1,1,2728436.29934518,0.0793175169748677,216412.792488156
1997,1,1,2984052.3408637,0.0836916333691952,249740.214466053
1998,1,1,2362874.62549397,0.0811630122681662,191778.022217105
1999,1,1,3367792.89075255,0.0962269360537342,324072.391140666
2000,1,1,4578738.26769057,0.0874456935561576,400390.943430322
2001,1,1,3994708.1814307,0.0861016032643171,343950.778994268
2002,1,1,4300016.59455156,0.0766124279449305,329434.711512087
2003,1,1,6317237.8070109,0.0842814952613021,532426.248296109
2004,1,1,3567807.84010205,0.0803686370954415,286739.853527432
2005,1,1,4426053.10728296,0.087428795806502,386964.493345376
2006,1,1,2617542.40380124,0.0860682270889952,225287.234025439
2007,1,1,3854106.73240519,0.101926702814048,392836.391527484
2008,1,1,2590152.34413552,0.101498923775394,262897.675344069
2009,1,1,1865786.88072779,0.111123499223168,207332.766991151
2010,1,1,3309754.93938436,0.100678445065354,333220.980844593
2011,1,1,2826781.61641105,0.0884820455664889,250119.419789796
2012,1,1,3313876.2924758,0.0841039651196497,278710.136113219
2013,1,1,4304734.692421,0.093366069657979,401916.159151698
2014,1,1,7186649.20689059,0.0761879256390242,547535.895368333
