"","species","STATION","STRATUM","YEAR","SEASON","LAT","LON","EST_TOWDATE","DEPTH","BOTTEMP","ABUNDANCE","BIOMASS"
"1","menhaden",155,1050,1963,"FALL",40.883333,-72.133333,1963-12-10,27,9.3,4,0
"2","menhaden",155,1050,1963,"FALL",40.883333,-72.133333,1963-12-10,27,9.3,4,0
"3","menhaden",155,1050,1963,"FALL",40.883333,-72.133333,1963-12-10,27,9.3,4,0
"4","menhaden",157,1010,1963,"FALL",40.733333,-72.65,1963-12-10,28,8.1,2,0
"5","menhaden",183,1060,1963,"FALL",40.5,-70.833333,1963-12-14,75,14.4,1,0.5
"6","menhaden",59,1650,1967,"FALL",37.366667,-75.366667,1967-10-24,22,17.1,1,0.5
"7","menhaden",205,1260,1967,"FALL",42.266667,-70.316667,1967-11-08,71,8.5,1,0.5
"8","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.1,6,0
"9","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.1,6,0
"10","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.1,6,0
"11","menhaden",28,1650,1968,"SPRING",37.05,-75.566667,1968-03-09,20,4.1,6,0
"12","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,6.9,7,0
"13","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,6.9,7,0
"14","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,6.9,7,0
"15","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,6.9,7,0
"16","menhaden",32,1610,1968,"SPRING",36.466667,-75.366667,1968-03-10,29,6.9,7,0
"17","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,6.5,15,0
"18","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,6.5,15,0
"19","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,6.5,15,0
"20","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,6.5,15,0
"21","menhaden",33,1610,1968,"SPRING",36.4,-75.383333,1968-03-10,30,6.5,15,0
"22","menhaden",193,1020,1971,"SPRING",39.916667,-72.25,1971-04-10,83,9.2,1,0
"23","menhaden",211,1280,1972,"SPRING",42.316667,-69.9,1972-04-13,201,6,1,0
"24","menhaden",7,3030,1972,"FALL",40.933333,-72.216667,1972-11-01,8,12.6,3,0
"25","menhaden",7,3030,1972,"FALL",40.933333,-72.216667,1972-11-01,8,12.6,3,0
"26","menhaden",19,3070,1972,"FALL",40.7,-72.933333,1972-11-04,15,NA,1,0.5
"27","menhaden",21,3060,1972,"FALL",40.65,-73.166667,1972-11-04,9,12.8,1,0.5
"28","menhaden",22,3090,1972,"FALL",40.616667,-73.283333,1972-11-04,9,12.6,2,0.5
"29","menhaden",23,3090,1972,"FALL",40.6,-73.433333,1972-11-04,10,12.8,2,0
"30","menhaden",23,3090,1972,"FALL",40.6,-73.433333,1972-11-04,10,12.8,2,0
"31","menhaden",47,3150,1972,"FALL",39.816667,-74.083333,1972-11-07,9,12.6,2,1.4
"32","menhaden",48,3150,1972,"FALL",39.733333,-74.083333,1972-11-07,9,12,1,0.5
"33","menhaden",58,3180,1972,"FALL",39.316667,-74.45,1972-11-08,8,12.5,2,0
"34","menhaden",64,3220,1972,"FALL",39.116667,-74.65,1972-11-10,15,12.6,1,0
"35","menhaden",125,7890,1972,"FALL",28.95,-80.816667,1972-11-09,15,24.3,1,0
"36","menhaden",134,7860,1972,"FALL",29.55,-81.15,1972-11-10,15,23.6,1,0.5
"37","menhaden",135,7870,1972,"FALL",29.7,-81.166667,1972-11-10,17,23.8,1,0
"38","menhaden",136,7860,1972,"FALL",29.9,-81.266667,1972-11-10,11,23.8,3,0.9
"39","menhaden",136,7860,1972,"FALL",29.9,-81.266667,1972-11-10,11,23.8,3,0.9
"40","menhaden",136,7860,1972,"FALL",29.9,-81.266667,1972-11-10,11,23.8,3,0.9
"41","menhaden",137,7830,1972,"FALL",30,-81.3,1972-11-10,11,23.5,4,0.5
"42","menhaden",137,7830,1972,"FALL",30,-81.3,1972-11-10,11,23.5,4,0.5
"43","menhaden",137,7830,1972,"FALL",30,-81.3,1972-11-10,11,23.5,4,0.5
"44","menhaden",139,7830,1972,"FALL",30.583333,-81.4,1972-11-10,7,22.1,1,0
"45","menhaden",156,7740,1972,"FALL",32.316667,-80.35,1972-11-12,7,19.6,1,0
"46","menhaden",157,7710,1972,"FALL",32.466667,-80.25,1972-11-12,7,19.3,1,0
"47","menhaden",166,7500,1972,"FALL",35.133333,-75.866667,1972-12-04,9,NA,2,0
"48","menhaden",166,7500,1972,"FALL",35.133333,-75.866667,1972-12-04,9,NA,2,0
"49","menhaden",172,3420,1972,"FALL",35.6,-75.45,1972-12-05,10,15.5,2,0
