"","CRUISE6","STATION","STRATUM","TOW","SVSPP","CATCHSEX","SVVESSEL","YEAR","SEASON","LAT","LON","EST_TOWDATE","DEPTH","SURFTEMP","SURFSALIN","BOTTEMP","BOTSALIN","ABUNDANCE","BIOMASS","LENGTH","NUMLEN","species"
"1",196307,1,1260,1,0,0,"AL",1963,"FALL",42.1,-70.233333,1963-11-13,58,11,NA,10.1,NA,0,0,0,0,"sample"
"2",196307,2,1260,2,0,0,"AL",1963,"FALL",42.166667,-70.25,1963-11-13,28,9.9,NA,9.9,NA,0,0,0,0,"sample"
"3",196307,3,1260,3,0,0,"AL",1963,"FALL",42.3,-70.116667,1963-11-14,75,9.9,NA,8.1,NA,0,0,0,0,"sample"
"4",196307,4,1260,4,0,0,"AL",1963,"FALL",42.3,-70.25,1963-11-14,32,10.2,NA,10.1,NA,0,0,0,0,"sample"
"5",196307,5,1260,5,0,0,"AL",1963,"FALL",42.266667,-70.416667,1963-11-14,93,10,NA,9.4,NA,0,0,0,0,"sample"
"6",196307,6,1260,6,0,0,"AL",1963,"FALL",42.333333,-70.25,1963-11-14,39,10,NA,10,NA,0,0,0,0,"sample"
"7",196307,7,1260,7,0,0,"AL",1963,"FALL",42.433333,-70.283333,1963-11-14,71,9.9,NA,9.9,NA,0,0,0,0,"sample"
"8",196307,8,1400,1,0,0,"AL",1963,"FALL",42.766667,-70.6,1963-11-14,78,9.6,NA,8.4,NA,0,0,0,0,"sample"
"9",196307,9,1400,2,0,0,"AL",1963,"FALL",42.8,-70.7,1963-11-14,40,9.9,NA,9.9,NA,0,0,0,0,"sample"
"10",196307,10,1400,3,0,0,"AL",1963,"FALL",42.833333,-70.65,1963-11-14,61,9.7,NA,8.8,NA,0,0,0,0,"sample"
"11",196307,11,1270,1,0,0,"AL",1963,"FALL",43,-70.416667,1963-11-14,116,9.6,NA,8.7,NA,0,0,0,0,"sample"
"12",196307,13,1270,2,0,0,"AL",1963,"FALL",43.233333,-70.166667,1963-11-15,113,8.9,NA,9.5,NA,0,0,0,0,"sample"
"13",196307,14,1380,1,0,0,"AL",1963,"FALL",43.35,-69.966667,1963-11-15,163,8.9,NA,7.1,NA,0,0,0,0,"sample"
"14",196307,15,1380,2,0,0,"AL",1963,"FALL",43.266667,-69.666667,1963-11-15,160,9.1,NA,6,NA,0,0,0,0,"sample"
"15",196307,16,1370,1,0,0,"AL",1963,"FALL",42.933333,-69.416667,1963-11-15,157,8.9,NA,6.3,NA,0,0,0,0,"sample"
"16",196307,17,1370,2,0,0,"AL",1963,"FALL",42.85,-69.233333,1963-11-15,162,8.9,NA,6.1,NA,0,0,0,0,"sample"
"17",196307,18,1370,3,0,0,"AL",1963,"FALL",42.716667,-69.05,1963-11-15,153,8.8,NA,6.4,NA,0,0,0,0,"sample"
"18",196307,19,1280,1,0,0,"AL",1963,"FALL",42.55,-69.483333,1963-11-15,273,9.4,NA,6.6,NA,0,0,0,0,"sample"
"19",196307,20,1280,2,0,0,"AL",1963,"FALL",42.283333,-69.733333,1963-11-15,240,9.4,NA,6.4,NA,0,0,0,0,"sample"
"20",196307,21,1280,3,0,0,"AL",1963,"FALL",42.233333,-69.35,1963-11-16,205,9.6,NA,6.6,NA,0,0,0,0,"sample"
"21",196307,22,1280,4,0,0,"AL",1963,"FALL",42.416667,-69.033333,1963-11-16,223,9,NA,6.6,NA,0,0,0,0,"sample"
"22",196307,23,1280,5,0,0,"AL",1963,"FALL",42.283333,-68.733333,1963-11-16,201,9.9,NA,6.6,NA,0,0,0,0,"sample"
"23",196307,24,1280,6,0,0,"AL",1963,"FALL",42.633333,-68.583333,1963-11-16,200,9.4,NA,7.1,NA,0,0,0,0,"sample"
"24",196307,25,1370,4,0,0,"AL",1963,"FALL",42.783333,-68.8,1963-11-16,170,9.3,NA,6.7,NA,0,0,0,0,"sample"
"25",196307,26,1370,5,0,0,"AL",1963,"FALL",43.033333,-68.833333,1963-11-16,185,8.9,NA,6.4,NA,0,0,0,0,"sample"
"26",196307,27,1380,3,0,0,"AL",1963,"FALL",43.316667,-68.966667,1963-11-16,151,8.2,NA,7.2,NA,0,0,0,0,"sample"
"27",196307,28,1380,4,0,0,"AL",1963,"FALL",43.583333,-68.816667,1963-11-16,137,8.2,NA,7.8,NA,0,0,0,0,"sample"
"28",196307,29,1390,1,0,0,"AL",1963,"FALL",43.85,-68.55,1963-11-17,103,8.6,NA,8.3,NA,0,0,0,0,"sample"
"29",196307,30,1380,5,0,0,"AL",1963,"FALL",43.716667,-68.433333,1963-11-17,174,7.7,NA,7.3,NA,0,0,0,0,"sample"
"30",196307,31,1380,6,0,0,"AL",1963,"FALL",43.5,-68.533333,1963-11-17,146,8,NA,7.8,NA,0,0,0,0,"sample"
"31",196307,33,1360,1,0,0,"AL",1963,"FALL",42.85,-68.366667,1963-11-18,174,8.7,NA,6.6,NA,0,0,0,0,"sample"
